CustomerID,FirstName,LastName,CustomerName,PhoneNumber
CUS001,Musa,El-Amin,Musa El-Amin,28473
CUS002,Huda,Nasser,Huda Nasser,10374
CUS003,Frank,Osei,Frank Osei,73927
CUS004,Bella,Adebayo,Bella Adebayo,37920
CUS005,Kamal,Desai,Kamal Desai,85938
CUS006,Ruth,Dlamini,Ruth Dlamini,63729
CUS007,Imran,Bashir,Imran Bashir,29444
CUS008,Zara,Mensah,Zara Mensah,63791
CUS009,Jonny,Everstone,Jonny Everstone,75839
CUS010,Leah,Morgan,Leah Morgan,94837
CUS011,Omar,Castillo,Omar Castillo,58943
CUS012,Priya,Patel,Priya Patel,58492
CUS013,Ethan,Brooks,Ethan Brooks,18374
CUS014,Sophie,Keller,Sophie Keller,47852
CUS015,Jacob,Thompson,Jacob Thompson,29384
CUS016,Mia,Johnson,Mia Johnson,47593
CUS017,Noah,Davis,Noah Davis,47392
CUS018,Chloe,Evans,Chloe Evans,69203
CUS019,Liam,Morgan,Liam Morgan,54892
CUS020,Emily,Parker,Emily Parker,12893
CUS021,Oliver,Wilson,Oliver Wilson,23948
CUS022,Ava,Stewart,Ava Stewart,35094
CUS023,Jack,Robinson,Jack Robinson,45045
CUS024,Isabella,Green,Isabella Green,20495
CUS025,Henry,Clarke,Henry Clarke,40864
CUS026,Grace,Hughes,Grace Hughes,10293
CUS027,Leo,Foster,Leo Foster,43354
CUS028,Ella,Mitchell,Ella Mitchell,20938
CUS029,Anna,Li,Anna Li,48937
CUS030,George,Reynolds,George Reynolds,10293
CUS031,Grace,Jones,Grace Jones,73449
CUS032,Marvin,Perch,Marvin Perch,29384
CUS033,Dominic,Sage,Dominic Sage,50934
CUS034,Talia,Rens,Talia Rens,19373
CUS035,Dennis,Croft,Dennis Croft,29483
CUS036,Ellie,McLaren,Ellie McLaren,39480
CUS037,Sanjay,Sharma,Sanjay Sharma,94854
CUS038,Naomi,Fielding,Naomi Fielding,84953
CUS039,Jasper,McKay,Jasper McKay,53098
CUS040,Carla,Woods,Carla Woods,20932
